title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
The Mafia Dolls,TV Show,2009,TV-14,43,Action,['CO'],2.0,tt1585368,6.6,284.0
Horrid Henry,TV Show,2006,,12,Comedy,['GB'],5.0,tt0985991,6.3,912.0
Horrid Henry,TV Show,2006,,12,Family,['GB'],5.0,tt0985991,6.3,912.0
Horrid Henry,TV Show,2006,,12,Fantasy,['GB'],5.0,tt0985991,6.3,912.0
Horrid Henry,TV Show,2006,,12,Music,['GB'],5.0,tt0985991,6.3,912.0
Horrid Henry,TV Show,2006,,12,Animation,['GB'],5.0,tt0985991,6.3,912.0
Horrid Henry,TV Show,2006,,12,European,['GB'],5.0,tt0985991,6.3,912.0
I Will Follow,Movie,2010,PG-13,76,Drama,['US'],,tt1624426,5.9,865.0
Alpha and Omega,Movie,2010,PG,88,Animation,"['IN', 'CA', 'US']",,tt1213012,5.1,14272.0
Alpha and Omega,Movie,2010,PG,88,Romance,"['IN', 'CA', 'US']",,tt1213012,5.1,14272.0
Alpha and Omega,Movie,2010,PG,88,Comedy,"['IN', 'CA', 'US']",,tt1213012,5.1,14272.0
Alpha and Omega,Movie,2010,PG,88,Family,"['IN', 'CA', 'US']",,tt1213012,5.1,14272.0
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,Movie,2007,PG-13,90,Drama,['JP'],,tt1037116,6.9,1611.0
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,Movie,2007,PG-13,90,Comedy,['JP'],,tt1037116,6.9,1611.0
